usar,otherCatalogNumbers,catalogNumber,institutionCode,collectionCode,individualCount,basisOfRecord,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,identificationQualifier,scientificNameAuthorship,vernacularName,taxonRemarks,identifiedBy,geodeticDatum,decimalLatitude,decimalLongitude,continent,countryCode,country,stateProvince,waterBody,eventDate,locality,recordedBy,samplingProtocol,associatedSequences,agua
TRUE,,3087,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myleus setiger, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,,"Muller & Troschel, 1844",Pacu,,"Zuanon, J.",WGS84,-5.46001,-48.34394,South America,BR,Brazil,Tocantins,Araguaia,2009-09-14,r. Araguaia /Jusante de AHE-SI/Araguatins/TO,Natasha Verdasca,Malhadeira,,Clear
TRUE,,4570,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myleus setiger, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,,"Muller & Troschel, 1844",Pacu,,"Zuanon, J.",WGS84,-5.32363,-47.86833,South America,BR,Brazil,Tocantins,Tocantins,2009-12-18,Pe. São S. do Tocantins,Natasha Verdasca,Arrasto/Malhadeira/Tarrafa,,Clear
TRUE,,4867,UFAM,CTGA,1,,Other material,"Myleus setiger, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,,"Muller & Troschel, 1844",Pacu,,"Zuanon, J.",WGS84,-5.36263,-48.77338,South America,BR,Brazil,Para,Araguaia,2009-12-21,r. Araguaia prox do encontro com o r. Tocantins,Natasha Verdasca,Malhadeira,,Clear
TRUE,,4868,UFAM,CTGA,1,,Other material,"Myleus setiger, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myleus,setiger,species,,"Muller & Troschel, 1844",Pacu,,"Zuanon, J.",WGS84,-5.36263,-48.77338,South America,BR,Brazil,Para,Araguaia,2009-12-21,r. Araguaia prox do encontro com o r. Tocantins,Natasha Verdasca,Malhadeira,,Clear
TRUE,,2864,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myloplus arnoldi, Ahl, 1936",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,,"Ahl, 1936",Pacu,,"Zuanon, J.",WGS84,-6.14894,-48.36074,South America,BR,Brazil,Para,Araguaia,2009-09-11,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,Malhadeira,,Clear
TRUE,,2865,UFAM,CTGA,1,,Other material,"Myloplus arnoldi, Ahl, 1936",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,,"Ahl, 1936",Pacu,,"Zuanon, J.",WGS84,-6.14894,-48.36074,South America,BR,Brazil,Para,Araguaia,2009-09-11,r. Araguaia /Reservatório de AHE-SI/Sat.Isabel/PA,Natasha Verdasca,Malhadeira,,Clear
TRUE,,3124,UFAM,CTGA,1,,Other material,"Myloplus arnoldi, Ahl, 1936",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,,"Ahl, 1936",Pacu,,"Zuanon, J.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,Malhadeira,,Clear
TRUE,,3125,UFAM,CTGA,1,,Other material,"Myloplus arnoldi, Ahl, 1936",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,arnoldi,species,,"Ahl, 1936",Pacu,,"Zuanon, J.",WGS84,-5.61084,-48.13106,South America,BR,Brazil,Tocantins,Araguaia,2009-09-16,"Araguaia river, near Araguatins city",Tomas Hrbek,Malhadeira,,Clear
TRUE,,4571,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myleus setiger, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,torquatus,species,,"Kner, 1858",Pacu,,"Zuanon, J.",WGS84,-5.32363,-47.86833,South America,BR,Brazil,Tocantins,Tocantins,2009-12-18,Pe. São S. do Tocantins,Natasha Verdasca,Arrasto/Malhadeira/Tarrafa,,Clear
TRUE,,4572,UFAM,CTGA,1,PreservedSpecimen,Other material,"Myleus setiger, Muller & Troschel, 1844",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,torquatus,species,,"Kner, 1858",Pacu,,"Zuanon, J.",WGS84,-5.32363,-47.86833,South America,BR,Brazil,Tocantins,Tocantins,2009-12-18,Pe. São S. do Tocantins,Natasha Verdasca,Arrasto/Malhadeira/Tarrafa,,Clear
TRUE,,5765,UFAM,CTGA,1,,Other material,"Myloplus nigrolineatus, Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,sp nova,"Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Pacu,,"Machado, V.",WGS84,-3.01905,-49.73781,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,Arrasto,,Clear
TRUE,,5766,UFAM,CTGA,1,,Other material,"Myloplus nigrolineatus, Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Myloplus,nigrolineatus,species,sp nova,"Ota, Machado, Collins, Andrade, Farias & Hrbek, 2019",Pacu,,"Machado, V.",WGS84,-3.01905,-49.73781,South America,BR,Brazil,Pará,Tocantins,2009-11-06,"Tocantins river, rear Baiao cty",Valeria Machado,Arrasto,,Clear
